affectation_actuelle;affectation_9_juillet;affectation_3_septembre;affectation_4_mars;affectation_26_aout;parc_keolis;contrat_michelin;immatriculation;n_de_serie;mise_en_circulation;modele;certificat_immatriculation;nouvelle_licence_communautaire;gabarit;nb_places;id_modele
GC;GC;SUMA;"";GC;132041;-;CX-571-NF;WDB9061551N547140;02/08/2013;SPRINTER;KPA Rue Georges Claude;"";Minibus +;23;8
SAP;SAP;SAP;SAP;SAP;123054;-;CG-671-SB;WEB63325213258775;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
GC;SUMA;SUMA;SUMA;SUMA;072079;-;BW-454-AF;WDB9061551N321608;22/06/2007;CYTIOS 3;KPA Rue des Cordeliers;"";Minibus;23;5
GC;GC;SUMA;GC;à soritr;072078;-;BT-328-ZA;WDB9061551N318307;22/06/2007;CYTIOS 3;KPA Rue des Cordeliers;"";Minibus;23;5
SUMA;SUMA;SUMA;SUMA;SUMA;122019;-;CB-564-TD;ZFA25000002057748;22/02/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
SUMA;SUMA;GC;SUMA;SUMA;122020;-;CB-653-TD;ZFA25000002041171;22/02/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
SUMA;SUMA;SUMA;SUMA;SUMA;122021;-;CB-516-TD;ZFA25000002057070;22/02/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
SUMA;SUMA;SUMA;SUMA;SUMA;122022;-;CB-574-TD;ZFA25000002066094;22/02/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
SUMA;SUMA;GC;SUMA;SUMA;122027;-;CB-564-WT;ZFA25000002068363;24/02/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
GC;"";GC;GC;GC;122108;-;CN-684-FF;ZFA25000002219178;26/11/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;GC;GC;GC;GC;122110;-;CN-658-FF;ZFA25000002222277;26/11/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;GC;SUMA;SUMA;SUMA;072081;-;CA-275-SR;WDB9061551N315986;22/06/2007;CYTIOS 3;KPA Rue des Cordeliers;"";Minibus;23;5
SAP;SAP;SAP;SAP;SAP;123055;-;CG-599-KE;WEB63325213258777;14/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
"";SAP;SAP;SAP;SAP;123023;-;CF-886-TX;WEB63325213258597;31/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
"";SAP;SAP;SAP;SAP;123024;-;CF-871-TX;WEB63325213258598;31/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123025;-;CF-906-TX;WEB63325213258599;31/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123026;-;CF-858-TX;WEB63325213258753;31/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123027;-;CF-959-TH;WEB63325213258792;30/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123028;-;CF-956-TH;WEB63325213258798;30/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123029;-;CF-949-TH;WEB63325213258793;30/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123030;-;CF-943-TH;WEB63325213258788;30/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123048;-;CG-184-KE;WEB63325213258791;14/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123049;-;CG-169-KE;WEB63325213258794;14/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123050;-;CG-711-SB;WEB63325213258778;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123051;-;CG-703-SB;WEB63325213258800;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123052;-;CG-691-SB;WEB63325213258801;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
GC;SUMA;SUMA;"";GC;132042;-;CX-565-NF;WDB9061551N547053;02/08/2013;SPRINTER;KPA Rue Georges Claude;"";Minibus +;23;8
SAP;SAP;SAP;SAP;SAP;123056;-;CG-661-SB;WEB63325213258789;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
"";SAP;SAP;SAP;SAP;123022;-;CF-953-TH;WEB63325213258799;30/05/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
GC;GC;GC;"";GC;122002;+;CA-038-AV;ZFA25000002042564;09/01/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;GC;GC;GC;SAP;122007;+;CB-357-CB;ZFA25000002040788;03/02/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
SAP;GC;GC;GC;SAP;122013;+;CB-596-TD;ZFA25000002065516;22/02/2012;CITY 21;KPA Rue Georges Claude;6;Minibus;21;3
GC;GC;GC;GC;GC;122014;+;CB-619-TD;ZFA25000002065544;22/02/2012;CITY 21;KPA Rue Georges Claude;1;Minibus;21;3
GC;GC;GC;GC;SAP;122015;+;CB-636-TD;ZFA25000002063727;22/02/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;GC;GC;GC;SAP;122016;+;CB-473-TD;ZFA25000002033340;22/02/2012;CITY 21;KPA Rue Georges Claude;13;Minibus;21;3
GC;GC;GC;GC;GC;122017;+;CB-496-TD;ZFA25000002033508;22/02/2012;CITY 21;KPA Rue Georges Claude;2;Minibus;21;3
GC;GC;GC;GC;GC;122018;+;CB-539-TD;ZFA25000002057459;22/02/2012;CITY 21;KPA Rue Georges Claude;4;Minibus;21;3
GC;GC;GC;GC;GC;122024;+;CB-601-WT;ZFA25000002096420;24/02/2012;CITY 21;KPA Rue Georges Claude;20;Minibus;21;3
GC;GC;GC;GC;GC;122025;+;CB-501-WT;ZFA25000002094277;24/02/2012;CITY 21;KPA Rue Georges Claude;3;Minibus;21;3
GC;GC;GC;GC;GC;122026;+;CB-537-WT;ZFA25000002094235;24/02/2012;CITY 21;KPA Rue Georges Claude;7;Minibus;21;3
SUMA;GC;GC;SUMA;SUMA;122052;+;CH-027-BF;ZFA25000002098221;28/06/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
GC;GC;GC;GC;GC;122053;+;CH-986-BE;ZFA25000002099143;28/06/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
SUMA;GC;GC;SUMA;SUMA;122059;+;CH-145-HY;ZFA25000002098459;05/07/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;GC;GC;GC;GC;122060;+;CH-058-HY;ZFA25000002098498;05/07/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
GC;"";GC;GC;GC;122061;+;CH-103-HY;ZFA25000002103150;05/07/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
SUMA;SUMA;SUMA;SUMA;SUMA;122006;-;CB-210-CB;ZFA25000002066104;03/02/2012;CITY 21;KPA Rue des Cordeliers;"";Minibus;21;3
JP;JP;GC;JP;JP;119105;+;BY-480-TE;WEB62808313702685;08/12/2011;CITARO;KPA Rue Georges Claude;copie;Autobus standard;108;1
GC;GC;GC;GC;GC;119118;+;BY-431-TE;WEB62808313702655;08/12/2011;CITARO;KPA Rue Georges Claude;28;Autobus standard;108;1
JP;GC;JP;JP;JP;119132;+;BY-833-XD;WEB62808313702673;12/12/2011;CITARO;KPA Rue Georges Claude;62;Autobus standard;108;1
GC;"";"";GC;GC;129144;-;CN-398-NE;WEB62808310604333;04/12/2012;CITARO;KPA Rue Georges Claude;"";Autobus standard;108;1
SUMA;"";GC;SUMA;SUMA;122109;-;CN-621-FF;ZFA25000002212800;26/11/2012;CITY 21;KPA Rue Georges Claude;"";Minibus;21;3
SAP;JP;GC;GC;GC;117014;+;BZ-703-GR;VJ1GX586H7C002310;21/12/2011;GX 127C;KPA Rue des Cordeliers;copie;Midibus;86;6
SAP;SAP;SAP;SAP;SAP;123057;-;CG-789-SR;WEB63325213258795;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123058;-;CG-474-SW;WEB63325213258745;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123059;-;CG-213-KE;WEB63325213258776;14/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123060;-;CG-199-KE;WEB63325213258790;14/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;123053;-;CG-677-SB;WEB63325213258774;21/06/2012;INTOURO;KPA Rue des Cordeliers;"";Autocar standard;59;7
SAP;SAP;SAP;SAP;SAP;122081;-;CK-161-CE;NLRTMF160CA010229;27/08/2012;NAVIGO;KPA Rue Georges Claude;"";Midicar;33;9
SAP;SAP;SAP;SAP;SAP;122082;-;CK-107-CE;NLRTMF160CA010219;27/08/2012;NAVIGO;KPA Rue Georges Claude;"";Midicar;33;9
SAP;SAP;SAP;SAP;SAP;122083;-;CK-014-CE;NLRTMF160CA010517;27/08/2012;NAVIGO;KPA Rue Georges Claude;"";Midicar;33;9
SAP;SAP;SAP;SAP;SAP;122084;-;CK-948-CD;NLRTMF160CA010518;27/08/2012;NAVIGO;KPA Rue Georges Claude;"";Midicar;33;9
SAP;SAP;SAP;SAP;SAP;122085;-;CK-883-CD;NLRTMF160CA010527;27/08/2012;NAVIGO;KPA Rue Georges Claude;"";Midicar;33;9
